Name_ID ,Name_OfficialCombined,Name_Official,,Name_FirstName,Name_ForwardName,Name_DateExpression,Name_BirthDateFilter,Name_DeathDateFilter,Name_Type,Name_KressInstitutionType,Name_InstitutionStatus,Name_Location,Name_LocationFilter,Name_InstitutionWeb,Name_Nationality ,Name_NationalityFilter,Name_ULANID,Name_ULANURI,Name_VIAFID,Name_VIAFURI,Name_LCCNID,Name_LCCNURI,Name_WikipediaURL,Name_TMSID,Name_InternalNote,Name_RelatedObjectID,Name_RelatedAcquisitionID,Name_RelatedDocumentID,Name_RelatedObjectID (previous attribution),,,
NAM0029,"Andrea da Firenze, active 1346-died 1379",Andrea da Firenze,Andrea da Firenze,,Andrea da Firenze,active 1346-died 1379,1326,1379,Artist,,,,,,Florentine,Italian,500000705,http://vocab.getty.edu/page/ulan/500000705,199806752,http://viaf.org/viaf/199806752,no88006473,http://id.loc.gov/authorities/names/no88006473,https://en.wikipedia.org/wiki/Andrea_di_Bonaiuto_da_Firenze,13058,,,,,3380,,,
NAM0030,"Andrea di Bartolo, active from 1389-died 1428",Andrea di Bartolo,Andrea di Bartolo,,Andrea di Bartolo,active from 1389-died 1428,1369,1428,Artist,,,,,,Sienese,Italian,500024770,http://vocab.getty.edu/page/ulan/500024770,250850997,http://viaf.org/viaf/250850997,nr88003533,http://id.loc.gov/authorities/names/nr88003533,https://en.wikipedia.org/wiki/Andrea_di_Bartolo,91,,,,,,,,
NAM0031,"Andrea di Giusto, active 1427-1447, died 1451",Andrea di Giusto,Andrea di Giusto,,Andrea di Giusto,"active 1427-1447, died 1451",1407,1451,Artist,,,,,,Florentine,Italian,500118632,http://vocab.getty.edu/page/ulan/500118632,295802762,http://viaf.org/viaf/295802762,n86080839,http://id.loc.gov/authorities/names/n86080839,https://en.wikipedia.org/wiki/Andrea_di_Giusto,12915,,,,,3385,,,
NAM0032,"Andrea di Lione, 1610-1685",Andrea di Lione,Andrea di Lione,,Andrea di Lione,1610-1685,1610,1685,Artist,,,,,,Neopolitan,Italian,500005205,http://vocab.getty.edu/page/ulan/500005205,4100042,http://viaf.org/viaf/4100042,no2009083206,http://id.loc.gov/authorities/names/no2009083206,https://en.wikipedia.org/wiki/Andrea_di_Leone,36491,,,,,3362,,,
NAM0033,"Andrea di Niccolò di Giacomo, c. 1440-c. 1525",Andrea di Niccolò di Giacomo,Andrea di Niccolò,,Andrea di Niccolò di Giacomo,c. 1440-c. 1525,1435,1530,Artist,,,,,,Italian,Italian,500009254,http://vocab.getty.edu/page/ulan/500009254,95737517,http://viaf.org/viaf/95737517,,,,,,,,,3484,,,
NAM0034,"Angeli, Giuseppe, 1712-1798","Angeli, Giuseppe",Angeli,Giuseppe,Giuseppe Angeli,1712-1798,1712,1798,Artist,,,,,,Venetian,Italian,500029449,http://vocab.getty.edu/page/ulan/500029449,71663278,http://viaf.org/viaf/71663278,nr91030822,http://id.loc.gov/authorities/names/nr91030822,https://en.wikipedia.org/wiki/Giuseppe_Angeli,6896,,,,,,,,
NAM0035,"Angelico, Fra, c. 1395-1455","Angelico, Fra",Angelico,Fra,Fra Angelico,c. 1395-1455,1390,1455,Artist,,,,,,Florentine,Italian,500029319,http://vocab.getty.edu/page/ulan/500029319,121604263; 100186703,http://viaf.org/viaf/121604263; http://viaf.org/viaf/100186703,n50083291,http://id.loc.gov/authorities/names/n50083291,https://en.wikipedia.org/wiki/Fra_Angelico,99,,,,,,,,
NAM0036,"Angolo del Moro, Battista, c. 1515-1573","Angolo del Moro, Battista",Angolo del Moro,Battista,Battista Angolo del Moro,c. 1515-1573,1515,1578,Artist,,,,,,Italian,Italian,500015168,http://vocab.getty.edu/page/ulan/500015168,95774029,http://viaf.org/viaf/95774029,,,https://en.wikipedia.org/wiki/Battista_del_Moro,10543,,,,,,,,
NAM0037,"Anguilla, Francesco di Andrea, active 1410-1434","Anguilla, Francesco di Andrea",Anguilla,Francesco di Andrea,Francesco di Andrea Anguilla,active 1410-1434,1386,1440,Artist,,,,,,Italian,Italian,500017201,http://vocab.getty.edu/page/ulan/500017201,95786775; 237544454,http://viaf.org/viaf/95786775; http://viaf.org/viaf/237544454,no2011129460,http://id.loc.gov/authorities/names/no2011129460,,36333,,,,,,,,
NAM0038,"Anguissola, Sofonisba, c. 1532-1625","Anguissola, Sofonisba",Anguissola,Sofonisba,Sofonisba Anguissola,c. 1532-1625,1528,1625,Artist,,,,,,Italian,Italian,500115561,http://vocab.getty.edu/page/ulan/500115561,229537591,http://viaf.org/viaf/229537591,n88024840,http://id.loc.gov/authorities/names/n88024840,https://en.wikipedia.org/wiki/Sofonisba_Anguissola,35618,,,,,,,,
